0.52,0.18,0.3,0.00047596382674916705
0.52,0.21,0.27,0.0009519276534983341
0.52,0.22,0.26,0.0014278914802475012
0.52,0.23,0.25,0.0019038553069966682
0.52,0.24,0.24,0.0009519276534983341
0.52,0.25,0.23,0.0009519276534983341
0.52,0.27,0.21,0.0009519276534983341
0.52,0.28,0.2,0.00047596382674916705
0.52,0.29,0.19,0.00047596382674916705
0.53,0.15,0.32,0.0014278914802475012
0.53,0.16,0.31,0.0033317467872441696
0.53,0.17,0.3,0.00951927653498334
0.53,0.18,0.29,0.012375059495478343
0.53,0.19,0.28,0.020942408376963352
0.53,0.2,0.27,0.03664921465968586
0.53,0.21,0.26,0.04378867206092337
0.53,0.22,0.25,0.05235602094240838
0.53,0.23,0.24,0.046644455021418375
0.53,0.24,0.23,0.05711565920990005
0.53,0.25,0.22,0.044264635887672536
0.53,0.26,0.21,0.033793431699190864
0.53,0.27,0.2,0.018562589243217516
0.53,0.28,0.19,0.013802950975725845
0.53,0.29,0.18,0.004283674440742504
0.53,0.3,0.17,0.0038077106139933364
0.54,0.13,0.33,0.0009519276534983341
0.54,0.14,0.32,0.0033317467872441696
0.54,0.15,0.31,0.017134697762970014
0.54,0.16,0.3,0.04712041884816754
0.54,0.17,0.29,0.09709662065683008
0.54,0.18,0.28,0.1546882436934793
0.54,0.19,0.27,0.2398857686815802
0.54,0.2,0.26,0.3555449785816278
0.54,0.21,0.25,0.3898143741075678
0.54,0.22,0.24,0.43693479295573534
0.54,0.23,0.23,0.4079009995240362
0.54,0.24,0.22,0.38505473584007616
0.54,0.25,0.21,0.3036649214659686
0.54,0.26,0.2,0.2284626368396002
0.54,0.27,0.19,0.14088529271775346
0.54,0.28,0.18,0.08186577820085673
0.54,0.29,0.17,0.0376011423131842
0.54,0.3,0.16,0.013326987148976678
0.54,0.31,0.15,0.0019038553069966682
0.54,0.32,0.14,0.0009519276534983341
0.55,0.12,0.33,0.0009519276534983341
0.55,0.13,0.32,0.00475963826749167
0.55,0.14,0.31,0.016658733936220846
0.55,0.15,0.3,0.05473584007615421
0.55,0.16,0.29,0.12803426939552595
0.55,0.17,0.28,0.27225130890052357
0.55,0.18,0.27,0.4645406949071871
0.55,0.19,0.26,0.6216087577344122
0.55,0.2,0.25,0.8486435030937649
0.55,0.21,0.24,0.9138505473584008
0.55,0.22,0.23,1.0
0.55,0.23,0.22,0.8957639219419324
0.55,0.24,0.21,0.7420276059019515
0.55,0.25,0.2,0.5940028557829605
0.55,0.26,0.19,0.4145644930985245
0.55,0.27,0.18,0.2527367920038077
0.55,0.28,0.17,0.12851023322227512
0.55,0.29,0.16,0.05283198476915754
0.55,0.3,0.15,0.017134697762970014
0.55,0.31,0.14,0.0038077106139933364
0.55,0.32,0.13,0.0014278914802475012
0.56,0.12,0.32,0.00047596382674916705
0.56,0.13,0.31,0.004283674440742504
0.56,0.14,0.3,0.01951451689671585
0.56,0.15,0.29,0.06282722513089005
0.56,0.16,0.28,0.14612089481199428
0.56,0.17,0.27,0.25321275583055686
0.56,0.18,0.26,0.3712517848643503
0.56,0.19,0.25,0.5130890052356021
0.56,0.2,0.24,0.5940028557829605
0.56,0.21,0.23,0.6906235126130414
0.56,0.22,0.22,0.652546406473108
0.56,0.23,0.21,0.6073298429319371
0.56,0.24,0.2,0.49071870537839124
0.56,0.25,0.19,0.35316515944788196
0.56,0.26,0.18,0.22179914326511185
0.56,0.27,0.17,0.14516896715849595
0.56,0.28,0.16,0.0637791527843884
0.56,0.29,0.15,0.018562589243217516
0.56,0.3,0.14,0.0038077106139933364
0.56,0.31,0.13,0.0014278914802475012
0.57,0.11,0.32,0.0009519276534983341
0.57,0.12,0.31,0.00047596382674916705
0.57,0.13,0.3,0.005711565920990005
0.57,0.14,0.29,0.009043312708234174
0.57,0.15,0.28,0.028557829604950024
0.57,0.16,0.27,0.05140409328891004
0.57,0.17,0.26,0.08757734412184674
0.57,0.18,0.25,0.11661113755354593
0.57,0.19,0.24,0.14136125654450263
0.57,0.2,0.23,0.16087577344121848
0.57,0.23,0.2,0.1346977629700143
0.57,0.24,0.19,0.1128034269395526
0.57,0.25,0.18,0.07234650166587339
0.57,0.26,0.17,0.041884816753926704
0.57,0.27,0.16,0.023322227510709188
0.57,0.28,0.15,0.012375059495478343
0.58,0.12,0.3,0.00047596382674916705
0.58,0.14,0.28,0.0019038553069966682
0.58,0.15,0.27,0.002379819133745835
0.58,0.16,0.26,0.007615421227986673
0.58,0.17,0.25,0.010947168015230843
0.58,0.18,0.24,0.011899095668729176
0.58,0.19,0.23,0.02284626368396002
0.58,0.2,0.22,0.01618277010947168
0.58,0.22,0.2,0.01903855306996668
0.58,0.23,0.19,0.010947168015230843
0.58,0.24,0.18,0.007615421227986673
0.58,0.25,0.17,0.01142313184198001
0.58,0.26,0.16,0.004283674440742504
0.58,0.27,0.15,0.0019038553069966682
0.59,0.17,0.24,0.00047596382674916705
0.59,0.19,0.22,0.0009519276534983341
0.59,0.2,0.21,0.0009519276534983341
0.59,0.21,0.2,0.0009519276534983341
0.59,0.22,0.19,0.0009519276534983341
0.59,0.23,0.18,0.0019038553069966682
0.59,0.25,0.16,0.00047596382674916705
0.59,0.26,0.15,0.00047596382674916705
